
=== TestCase3 case3\fail1\basic-1 Fail execution 1 ===
{traceId=d6b956d0f64b548a, spanId=d6b956d0f64b548a, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1516793506862000, }
{traceId=d6b956d0f64b548a, spanId=8c6cb9b884f1a3e1, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=d6b956d0f64b548a, timestamp=1516793506920500, }
{traceId=d6b956d0f64b548a, spanId=8c6cb9b884f1a3e1, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-station-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=d6b956d0f64b548a, timestamp=1516793506923000, }
{traceId=d6b956d0f64b548a, spanId=629e0c051dffc37a, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=d6b956d0f64b548a, timestamp=1516793506924000, }
{traceId=d6b956d0f64b548a, spanId=629e0c051dffc37a, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=d6b956d0f64b548a, timestamp=1516793506926000, }
{traceId=d6b956d0f64b548a, spanId=1845972552d05477, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=629e0c051dffc37a, timestamp=1516793506928000, }
{traceId=d6b956d0f64b548a, spanId=1845972552d05477, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=629e0c051dffc37a, timestamp=1516793506931000, }
{traceId=d6b956d0f64b548a, spanId=972e10c3326731e6, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=1845972552d05477, timestamp=1516793506933000, }
{traceId=d6b956d0f64b548a, spanId=972e10c3326731e6, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=1845972552d05477, timestamp=1516793506935500, }
{traceId=d6b956d0f64b548a, spanId=972e10c3326731e6, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=1845972552d05477, timestamp=1516793506940500, }
{traceId=d6b956d0f64b548a, spanId=972e10c3326731e6, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=1845972552d05477, timestamp=1516793506943000, }
{traceId=d6b956d0f64b548a, spanId=1845972552d05477, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=629e0c051dffc37a, timestamp=1516793506944000, }
{traceId=d6b956d0f64b548a, spanId=1845972552d05477, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":7,"ts-station-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=629e0c051dffc37a, timestamp=1516793506947000, }
{traceId=d6b956d0f64b548a, spanId=629e0c051dffc37a, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=d6b956d0f64b548a, timestamp=1516793506948000, }
{traceId=d6b956d0f64b548a, spanId=629e0c051dffc37a, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":5,"ts-ticketinfo-service":8,"ts-station-service":4}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=d6b956d0f64b548a, timestamp=1516793506950000, }
{traceId=d6b956d0f64b548a, spanId=3d0a365ca4db63dc, hostName=ts-travel2-service, destName=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-route-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=d6b956d0f64b548a, timestamp=1516793506954000, }
{traceId=d6b956d0f64b548a, spanId=3d0a365ca4db63dc, hostName=ts-route-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":1}, event=ts-route-service.RouteController.queryById, type=sr, parentId=d6b956d0f64b548a, timestamp=1516793506957000, }
{traceId=d6b956d0f64b548a, spanId=3d0a365ca4db63dc, hostName=ts-route-service, destName=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-travel2-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=d6b956d0f64b548a, timestamp=1516793506962000, }
{traceId=d6b956d0f64b548a, spanId=3d0a365ca4db63dc, hostName=ts-travel2-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":7,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=d6b956d0f64b548a, timestamp=1516793506965000, }
{traceId=d6b956d0f64b548a, spanId=85d10ea9792e5a49, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=d6b956d0f64b548a, timestamp=1516793506966000, }
{traceId=d6b956d0f64b548a, spanId=85d10ea9792e5a49, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":9,"ts-station-service":4,"ts-route-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=sr, parentId=d6b956d0f64b548a, timestamp=1516793506968000, }
{traceId=d6b956d0f64b548a, spanId=62b9b4a06a43a3d7, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cs, parentId=85d10ea9792e5a49, timestamp=1516793506969000, }
{traceId=d6b956d0f64b548a, spanId=62b9b4a06a43a3d7, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":9,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=sr, parentId=85d10ea9792e5a49, timestamp=1516793506971000, }
{traceId=d6b956d0f64b548a, spanId=2d7d16e69708689b, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793506973000, }
{traceId=d6b956d0f64b548a, spanId=2d7d16e69708689b, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":5,"ts-route-service":2}, event=ts-station-service.StationController.exist, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793506975000, }
{traceId=d6b956d0f64b548a, spanId=2d7d16e69708689b, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793506980000, }
{traceId=d6b956d0f64b548a, spanId=2d7d16e69708689b, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":11,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793506982000, }
{traceId=d6b956d0f64b548a, spanId=2a5167c97ff02190, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793506984000, }
{traceId=d6b956d0f64b548a, spanId=2a5167c97ff02190, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":7,"ts-route-service":2}, event=ts-station-service.StationController.exist, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793506986000, }
{traceId=d6b956d0f64b548a, spanId=2a5167c97ff02190, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793506990000, }
{traceId=d6b956d0f64b548a, spanId=2a5167c97ff02190, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":13,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793506992000, }
{traceId=d6b956d0f64b548a, spanId=c9321440fa793654, hostName=ts-basic-service, destName=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, dest=ts-train-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793506993000, }
{traceId=d6b956d0f64b548a, spanId=c9321440fa793654, hostName=ts-train-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":1,"ts-station-service":8,"ts-route-service":2}, event=ts-train-service.TrainController.retrieve, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793506995500, }
{traceId=d6b956d0f64b548a, spanId=c9321440fa793654, hostName=ts-train-service, destName=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, dest=ts-basic-service, event=ts-train-service.TrainController.retrieve, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793507007500, }
{traceId=d6b956d0f64b548a, spanId=c9321440fa793654, hostName=ts-basic-service, srcName=ts-train-service, src=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":15,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793507010000, }
{traceId=d6b956d0f64b548a, spanId=bf3a8b35e023df62, hostName=ts-basic-service, destName=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, dest=ts-route-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793507011000, }
{traceId=d6b956d0f64b548a, spanId=bf3a8b35e023df62, hostName=ts-route-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":3}, event=ts-route-service.RouteController.queryById, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793507013500, }
{traceId=d6b956d0f64b548a, spanId=bf3a8b35e023df62, hostName=ts-route-service, destName=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-basic-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793507018500, }
{traceId=d6b956d0f64b548a, spanId=bf3a8b35e023df62, hostName=ts-basic-service, srcName=ts-route-service, src=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":17,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793507021000, }
{traceId=d6b956d0f64b548a, spanId=94491e803ecf0a7d, hostName=ts-basic-service, destName=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-price-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793507022000, }
{traceId=d6b956d0f64b548a, spanId=94491e803ecf0a7d, hostName=ts-price-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":1,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-price-service.PriceController.query, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793507026000, }
{traceId=d6b956d0f64b548a, spanId=94491e803ecf0a7d, hostName=ts-price-service, destName=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-basic-service, event=ts-price-service.PriceController.query, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793507033000, }
{traceId=d6b956d0f64b548a, spanId=94491e803ecf0a7d, hostName=ts-basic-service, srcName=ts-price-service, src=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":19,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793507037000, }
{traceId=d6b956d0f64b548a, spanId=1b6fe65b07583b45, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793507038000, }
{traceId=d6b956d0f64b548a, spanId=1b6fe65b07583b45, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":9,"ts-route-service":4}, event=ts-station-service.StationController.queryForId, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793507039000, }
{traceId=d6b956d0f64b548a, spanId=1b6fe65b07583b45, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793507043000, }
{traceId=d6b956d0f64b548a, spanId=1b6fe65b07583b45, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":21,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793507044000, }
{traceId=d6b956d0f64b548a, spanId=d730e8952a10aa7e, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=62b9b4a06a43a3d7, timestamp=1516793507046000, }
{traceId=d6b956d0f64b548a, spanId=d730e8952a10aa7e, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":11,"ts-route-service":4}, event=ts-station-service.StationController.queryForId, type=sr, parentId=62b9b4a06a43a3d7, timestamp=1516793507048000, }
{traceId=d6b956d0f64b548a, spanId=d730e8952a10aa7e, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=62b9b4a06a43a3d7, timestamp=1516793507051000, }
{traceId=d6b956d0f64b548a, spanId=d730e8952a10aa7e, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":23,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=62b9b4a06a43a3d7, timestamp=1516793507053000, }
{traceId=d6b956d0f64b548a, spanId=62b9b4a06a43a3d7, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForTravel, type=ss, parentId=85d10ea9792e5a49, timestamp=1516793507054000, }
{traceId=d6b956d0f64b548a, spanId=62b9b4a06a43a3d7, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":11,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cr, parentId=85d10ea9792e5a49, timestamp=1516793507056000, }
{traceId=d6b956d0f64b548a, spanId=85d10ea9792e5a49, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=ss, parentId=d6b956d0f64b548a, timestamp=1516793507058000, }
{traceId=d6b956d0f64b548a, spanId=85d10ea9792e5a49, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":9,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=d6b956d0f64b548a, timestamp=1516793507060000, }
{traceId=d6b956d0f64b548a, spanId=67f3dc100a1064a1, hostName=ts-travel2-service, destName=ts-order-other-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-order-other-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=d6b956d0f64b548a, timestamp=1516793507062000, }
{traceId=d6b956d0f64b548a, spanId=67f3dc100a1064a1, hostName=ts-order-other-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-order-other-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.calculateSoldTicket, type=sr, parentId=d6b956d0f64b548a, timestamp=1516793507064500, }
{traceId=d6b956d0f64b548a, spanId=67f3dc100a1064a1, hostName=ts-order-other-service, destName=ts-travel2-service, host=ts-order-other-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-order-other-service.OrderOtherController.calculateSoldTicket, type=ss, parentId=d6b956d0f64b548a, timestamp=1516793507070500, }
{traceId=d6b956d0f64b548a, spanId=67f3dc100a1064a1, hostName=ts-travel2-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":11,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=d6b956d0f64b548a, timestamp=1516793507073000, }
