
=== TestCase8 case8\fail1\basic-1 Fail execution 1 ===
{traceId=22b11b87fc703fbf, spanId=22b11b87fc703fbf, hostName=ts-travel-service, srcName=null, src=null, host=ts-travel-service, clock={"ts-travel-service":1}, event=ts-travel-service.TravelController.query, type=sr, parentId=, timestamp=1516945092075000, }
{traceId=22b11b87fc703fbf, spanId=8317cd16057a3253, hostName=ts-ticketinfo-service, destName=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":4,"ts-travel-service":2,"ts-station-service":2}, dest=ts-travel-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092094000, }
{traceId=22b11b87fc703fbf, spanId=8317cd16057a3253, hostName=ts-travel-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":4,"ts-travel-service":3,"ts-station-service":2}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092096000, }
{traceId=22b11b87fc703fbf, spanId=75cead395af3a858, hostName=ts-travel-service, destName=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":4,"ts-travel-service":4,"ts-station-service":2}, dest=ts-ticketinfo-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092098000, }
{traceId=22b11b87fc703fbf, spanId=75cead395af3a858, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":5,"ts-travel-service":4,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092099500, }
{traceId=22b11b87fc703fbf, spanId=1dbd11fa04eb0caa, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=75cead395af3a858, timestamp=1516945092100500, }
{traceId=22b11b87fc703fbf, spanId=1dbd11fa04eb0caa, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=75cead395af3a858, timestamp=1516945092103500, }
{traceId=22b11b87fc703fbf, spanId=cb37c83bb62f759e, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=1dbd11fa04eb0caa, timestamp=1516945092104500, }
{traceId=22b11b87fc703fbf, spanId=cb37c83bb62f759e, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=1dbd11fa04eb0caa, timestamp=1516945092107000, }
{traceId=22b11b87fc703fbf, spanId=cb37c83bb62f759e, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=1dbd11fa04eb0caa, timestamp=1516945092110000, }
{traceId=22b11b87fc703fbf, spanId=cb37c83bb62f759e, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=1dbd11fa04eb0caa, timestamp=1516945092112500, }
{traceId=22b11b87fc703fbf, spanId=1dbd11fa04eb0caa, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=75cead395af3a858, timestamp=1516945092113500, }
{traceId=22b11b87fc703fbf, spanId=1dbd11fa04eb0caa, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":7,"ts-travel-service":4,"ts-station-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=75cead395af3a858, timestamp=1516945092116500, }
{traceId=22b11b87fc703fbf, spanId=75cead395af3a858, hostName=ts-ticketinfo-service, destName=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":4,"ts-station-service":4}, dest=ts-travel-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092117500, }
{traceId=22b11b87fc703fbf, spanId=75cead395af3a858, hostName=ts-travel-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":5,"ts-station-service":4}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092119000, }
{traceId=22b11b87fc703fbf, spanId=d6823e5c9cbfc26e, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092122000, }
{traceId=22b11b87fc703fbf, spanId=d6823e5c9cbfc26e, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4,"ts-route-service":1}, event=ts-route-service.RouteController.queryById, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092123500, }
{traceId=22b11b87fc703fbf, spanId=d6823e5c9cbfc26e, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4,"ts-route-service":2}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092127500, }
{traceId=22b11b87fc703fbf, spanId=d6823e5c9cbfc26e, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":7,"ts-station-service":4,"ts-route-service":2}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092129000, }
{traceId=22b11b87fc703fbf, spanId=4ef0a1db8630ca94, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092131000, }
{traceId=22b11b87fc703fbf, spanId=4ef0a1db8630ca94, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":3}, event=ts-route-service.RouteController.queryById, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092131500, }
{traceId=22b11b87fc703fbf, spanId=4ef0a1db8630ca94, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":4}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092135500, }
{traceId=22b11b87fc703fbf, spanId=4ef0a1db8630ca94, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":9,"ts-station-service":4,"ts-route-service":4}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092136000, }
{traceId=22b11b87fc703fbf, spanId=577505c3842e4bca, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":4}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092137000, }
{traceId=22b11b87fc703fbf, spanId=577505c3842e4bca, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":5}, event=ts-route-service.RouteController.queryById, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092138000, }
{traceId=22b11b87fc703fbf, spanId=577505c3842e4bca, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":6}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092141000, }
{traceId=22b11b87fc703fbf, spanId=577505c3842e4bca, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":11,"ts-station-service":4,"ts-route-service":6}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092142000, }
{traceId=22b11b87fc703fbf, spanId=e3fd43e7d18cef29, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":6}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092144000, }
{traceId=22b11b87fc703fbf, spanId=e3fd43e7d18cef29, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":7}, event=ts-route-service.RouteController.queryById, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092144500, }
{traceId=22b11b87fc703fbf, spanId=e3fd43e7d18cef29, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":8}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092148500, }
{traceId=22b11b87fc703fbf, spanId=e3fd43e7d18cef29, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":13,"ts-station-service":4,"ts-route-service":8}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092149000, }
{traceId=22b11b87fc703fbf, spanId=60dae52e82673b43, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":8}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092150000, }
{traceId=22b11b87fc703fbf, spanId=60dae52e82673b43, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":9}, event=ts-route-service.RouteController.queryById, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092151500, }
{traceId=22b11b87fc703fbf, spanId=60dae52e82673b43, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":10}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=22b11b87fc703fbf, timestamp=1516945092154500, }
{traceId=22b11b87fc703fbf, spanId=60dae52e82673b43, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":15,"ts-station-service":4,"ts-route-service":10}, event=ts-travel-service.TravelController.query, type=cr, parentId=22b11b87fc703fbf, timestamp=1516945092156000, }
{traceId=22b11b87fc703fbf, spanId=abda7a3cfd89d3d5, hostName=ts-travel-service, destName=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-ticketinfo-service, event=ts-travel-service.TravelController.query, type=cs, parentId=22b11b87fc703fbf, timestamp=1516945092158000, }
{traceId=22b11b87fc703fbf, spanId=abda7a3cfd89d3d5, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":9,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=sr, parentId=22b11b87fc703fbf, timestamp=1516945092159500, }
{traceId=22b11b87fc703fbf, spanId=2d1f033f86d6fb3c, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cs, parentId=abda7a3cfd89d3d5, timestamp=1516945092160500, }
{traceId=22b11b87fc703fbf, spanId=2d1f033f86d6fb3c, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":9,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=sr, parentId=abda7a3cfd89d3d5, timestamp=1516945092162500, }
{traceId=22b11b87fc703fbf, spanId=b94854f1edbd600d, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092163500, }
{traceId=22b11b87fc703fbf, spanId=b94854f1edbd600d, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":5,"ts-route-service":10}, event=ts-station-service.StationController.exist, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092165500, }
{traceId=22b11b87fc703fbf, spanId=b94854f1edbd600d, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092168500, }
{traceId=22b11b87fc703fbf, spanId=b94854f1edbd600d, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":11,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=2d1f033f86d6fb3c, timestamp=1516945092170500, }
{traceId=22b11b87fc703fbf, spanId=54ecd140a4d808ea, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092171500, }
{traceId=22b11b87fc703fbf, spanId=54ecd140a4d808ea, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":7,"ts-route-service":10}, event=ts-station-service.StationController.exist, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092173500, }
{traceId=22b11b87fc703fbf, spanId=54ecd140a4d808ea, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092175500, }
{traceId=22b11b87fc703fbf, spanId=54ecd140a4d808ea, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":13,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=2d1f033f86d6fb3c, timestamp=1516945092177500, }
{traceId=22b11b87fc703fbf, spanId=33cc4ff334cb9d36, hostName=ts-basic-service, destName=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, dest=ts-train-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092178500, }
{traceId=22b11b87fc703fbf, spanId=33cc4ff334cb9d36, hostName=ts-train-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":1,"ts-station-service":8,"ts-route-service":10}, event=ts-train-service.TrainController.retrieve, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092180500, }
{traceId=22b11b87fc703fbf, spanId=33cc4ff334cb9d36, hostName=ts-train-service, destName=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":10}, dest=ts-basic-service, event=ts-train-service.TrainController.retrieve, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092184500, }
{traceId=22b11b87fc703fbf, spanId=33cc4ff334cb9d36, hostName=ts-basic-service, srcName=ts-train-service, src=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":15,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=2d1f033f86d6fb3c, timestamp=1516945092186500, }
{traceId=22b11b87fc703fbf, spanId=937742e0cf67c43d, hostName=ts-basic-service, destName=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":16,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":10}, dest=ts-route-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092187500, }
{traceId=22b11b87fc703fbf, spanId=937742e0cf67c43d, hostName=ts-route-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":11}, event=ts-route-service.RouteController.queryById, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092189500, }
{traceId=22b11b87fc703fbf, spanId=937742e0cf67c43d, hostName=ts-route-service, destName=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-basic-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092193500, }
{traceId=22b11b87fc703fbf, spanId=937742e0cf67c43d, hostName=ts-basic-service, srcName=ts-route-service, src=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":17,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=2d1f033f86d6fb3c, timestamp=1516945092195500, }
{traceId=22b11b87fc703fbf, spanId=60f65b775b3bc5fb, hostName=ts-basic-service, destName=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-price-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092196500, }
{traceId=22b11b87fc703fbf, spanId=60f65b775b3bc5fb, hostName=ts-price-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-price-service":1,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-price-service.PriceController.query, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092198500, }
{traceId=22b11b87fc703fbf, spanId=60f65b775b3bc5fb, hostName=ts-price-service, destName=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-basic-service, event=ts-price-service.PriceController.query, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092203500, }
{traceId=22b11b87fc703fbf, spanId=60f65b775b3bc5fb, hostName=ts-basic-service, srcName=ts-price-service, src=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":19,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=2d1f033f86d6fb3c, timestamp=1516945092205500, }
{traceId=22b11b87fc703fbf, spanId=020571a1396e2901, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=2d1f033f86d6fb3c, timestamp=1516945092206500, }
{traceId=22b11b87fc703fbf, spanId=020571a1396e2901, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":9,"ts-route-service":12}, event=ts-station-service.StationController.queryForId, type=sr, parentId=2d1f033f86d6fb3c, timestamp=1516945092208000, }
{traceId=22b11b87fc703fbf, spanId=020571a1396e2901, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":10,"ts-route-service":12}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=2d1f033f86d6fb3c, timestamp=1516945092210000, }
