
=== TestCase10 case10\fail1\basic-1 Fail execution 1 ===
{traceId=8170d9f5a20edc2f, spanId=8170d9f5a20edc2f, hostName=ts-travel-service, srcName=null, src=null, host=ts-travel-service, clock={"ts-travel-service":1}, event=ts-travel-service.TravelController.query, type=sr, parentId=, timestamp=1516945706551000, }
{traceId=8170d9f5a20edc2f, spanId=72f9d60442686f8f, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":5,"ts-travel-service":4,"ts-station-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706573500, }
{traceId=8170d9f5a20edc2f, spanId=619f963f6dcc11c7, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=72f9d60442686f8f, timestamp=1516945706574500, }
{traceId=8170d9f5a20edc2f, spanId=619f963f6dcc11c7, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=72f9d60442686f8f, timestamp=1516945706577000, }
{traceId=8170d9f5a20edc2f, spanId=552188a8e6b06288, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=619f963f6dcc11c7, timestamp=1516945706578000, }
{traceId=8170d9f5a20edc2f, spanId=552188a8e6b06288, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":3}, event=ts-station-service.StationController.queryForId, type=sr, parentId=619f963f6dcc11c7, timestamp=1516945706580000, }
{traceId=8170d9f5a20edc2f, spanId=552188a8e6b06288, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=619f963f6dcc11c7, timestamp=1516945706583000, }
{traceId=8170d9f5a20edc2f, spanId=552188a8e6b06288, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=619f963f6dcc11c7, timestamp=1516945706585000, }
{traceId=8170d9f5a20edc2f, spanId=619f963f6dcc11c7, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":6,"ts-travel-service":4,"ts-station-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=72f9d60442686f8f, timestamp=1516945706586000, }
{traceId=8170d9f5a20edc2f, spanId=619f963f6dcc11c7, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":7,"ts-travel-service":4,"ts-station-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=72f9d60442686f8f, timestamp=1516945706588500, }
{traceId=8170d9f5a20edc2f, spanId=72f9d60442686f8f, hostName=ts-ticketinfo-service, destName=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":4,"ts-station-service":4}, dest=ts-travel-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706589500, }
{traceId=8170d9f5a20edc2f, spanId=72f9d60442686f8f, hostName=ts-travel-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":5,"ts-station-service":4}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706591000, }
{traceId=8170d9f5a20edc2f, spanId=60775ffaf3991d80, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706594000, }
{traceId=8170d9f5a20edc2f, spanId=60775ffaf3991d80, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4,"ts-route-service":1}, event=ts-route-service.RouteController.queryById, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706595500, }
{traceId=8170d9f5a20edc2f, spanId=60775ffaf3991d80, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":6,"ts-station-service":4,"ts-route-service":2}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706598500, }
{traceId=8170d9f5a20edc2f, spanId=60775ffaf3991d80, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":7,"ts-station-service":4,"ts-route-service":2}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706600000, }
{traceId=8170d9f5a20edc2f, spanId=97511686ffbd59c6, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706602000, }
{traceId=8170d9f5a20edc2f, spanId=97511686ffbd59c6, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":3}, event=ts-route-service.RouteController.queryById, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706602500, }
{traceId=8170d9f5a20edc2f, spanId=97511686ffbd59c6, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":8,"ts-station-service":4,"ts-route-service":4}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706605500, }
{traceId=8170d9f5a20edc2f, spanId=97511686ffbd59c6, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":9,"ts-station-service":4,"ts-route-service":4}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706606000, }
{traceId=8170d9f5a20edc2f, spanId=f05508dc5bd07d69, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":4}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706607000, }
{traceId=8170d9f5a20edc2f, spanId=f05508dc5bd07d69, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":5}, event=ts-route-service.RouteController.queryById, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706607500, }
{traceId=8170d9f5a20edc2f, spanId=f05508dc5bd07d69, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":10,"ts-station-service":4,"ts-route-service":6}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706610500, }
{traceId=8170d9f5a20edc2f, spanId=f05508dc5bd07d69, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":11,"ts-station-service":4,"ts-route-service":6}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706611000, }
{traceId=8170d9f5a20edc2f, spanId=fa5afa36bbd302ca, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":6}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706612000, }
{traceId=8170d9f5a20edc2f, spanId=fa5afa36bbd302ca, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":7}, event=ts-route-service.RouteController.queryById, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706612500, }
{traceId=8170d9f5a20edc2f, spanId=fa5afa36bbd302ca, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":12,"ts-station-service":4,"ts-route-service":8}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706615500, }
{traceId=8170d9f5a20edc2f, spanId=fa5afa36bbd302ca, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":13,"ts-station-service":4,"ts-route-service":8}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706616000, }
{traceId=8170d9f5a20edc2f, spanId=75c33f24b8051704, hostName=ts-travel-service, destName=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":8}, dest=ts-route-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706617000, }
{traceId=8170d9f5a20edc2f, spanId=75c33f24b8051704, hostName=ts-route-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":9}, event=ts-route-service.RouteController.queryById, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706618000, }
{traceId=8170d9f5a20edc2f, spanId=75c33f24b8051704, hostName=ts-route-service, destName=ts-travel-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":14,"ts-station-service":4,"ts-route-service":10}, dest=ts-travel-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=8170d9f5a20edc2f, timestamp=1516945706621000, }
{traceId=8170d9f5a20edc2f, spanId=75c33f24b8051704, hostName=ts-travel-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":15,"ts-station-service":4,"ts-route-service":10}, event=ts-travel-service.TravelController.query, type=cr, parentId=8170d9f5a20edc2f, timestamp=1516945706622000, }
{traceId=8170d9f5a20edc2f, spanId=cd6080347625fb9a, hostName=ts-travel-service, destName=ts-ticketinfo-service, host=ts-travel-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":8,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-ticketinfo-service, event=ts-travel-service.TravelController.query, type=cs, parentId=8170d9f5a20edc2f, timestamp=1516945706624000, }
{traceId=8170d9f5a20edc2f, spanId=cd6080347625fb9a, hostName=ts-ticketinfo-service, srcName=ts-travel-service, src=ts-travel-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":9,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=sr, parentId=8170d9f5a20edc2f, timestamp=1516945706625500, }
{traceId=8170d9f5a20edc2f, spanId=3ba235b81dd3a21c, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cs, parentId=cd6080347625fb9a, timestamp=1516945706627500, }
{traceId=8170d9f5a20edc2f, spanId=3ba235b81dd3a21c, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":9,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=sr, parentId=cd6080347625fb9a, timestamp=1516945706629500, }
{traceId=8170d9f5a20edc2f, spanId=0449af8529b9f91c, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":4,"ts-route-service":10}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706630500, }
{traceId=8170d9f5a20edc2f, spanId=0449af8529b9f91c, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":5,"ts-route-service":10}, event=ts-station-service.StationController.exist, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706633000, }
{traceId=8170d9f5a20edc2f, spanId=0449af8529b9f91c, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706635000, }
{traceId=8170d9f5a20edc2f, spanId=0449af8529b9f91c, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":11,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=3ba235b81dd3a21c, timestamp=1516945706637500, }
{traceId=8170d9f5a20edc2f, spanId=a27237bd52d9c153, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":6,"ts-route-service":10}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706638500, }
{traceId=8170d9f5a20edc2f, spanId=a27237bd52d9c153, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":7,"ts-route-service":10}, event=ts-station-service.StationController.exist, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706640000, }
{traceId=8170d9f5a20edc2f, spanId=a27237bd52d9c153, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706642000, }
{traceId=8170d9f5a20edc2f, spanId=a27237bd52d9c153, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":13,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=3ba235b81dd3a21c, timestamp=1516945706643500, }
{traceId=8170d9f5a20edc2f, spanId=458280b289a944f2, hostName=ts-basic-service, destName=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, dest=ts-train-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706644500, }
{traceId=8170d9f5a20edc2f, spanId=458280b289a944f2, hostName=ts-train-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":1,"ts-station-service":8,"ts-route-service":10}, event=ts-train-service.TrainController.retrieve, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706646500, }
{traceId=8170d9f5a20edc2f, spanId=458280b289a944f2, hostName=ts-train-service, destName=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":10}, dest=ts-basic-service, event=ts-train-service.TrainController.retrieve, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706650500, }
{traceId=8170d9f5a20edc2f, spanId=339c6a1e8076e391, hostName=ts-basic-service, destName=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":15,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":10}, dest=ts-route-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706652500, }
{traceId=8170d9f5a20edc2f, spanId=458280b289a944f2, hostName=ts-basic-service, srcName=ts-train-service, src=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":16,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":10}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=3ba235b81dd3a21c, timestamp=1516945706652500, }
{traceId=8170d9f5a20edc2f, spanId=339c6a1e8076e391, hostName=ts-route-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":15,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":11}, event=ts-route-service.RouteController.queryById, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706654500, }
{traceId=8170d9f5a20edc2f, spanId=339c6a1e8076e391, hostName=ts-route-service, destName=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":15,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-station-service":8,"ts-route-service":12}, dest=ts-basic-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706658500, }
{traceId=8170d9f5a20edc2f, spanId=339c6a1e8076e391, hostName=ts-basic-service, srcName=ts-route-service, src=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":17,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=3ba235b81dd3a21c, timestamp=1516945706660500, }
{traceId=8170d9f5a20edc2f, spanId=0c0d55c2e0c26dd5, hostName=ts-basic-service, destName=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-price-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706661500, }
{traceId=8170d9f5a20edc2f, spanId=0c0d55c2e0c26dd5, hostName=ts-price-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-price-service":1,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-price-service.PriceController.query, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706663500, }
{traceId=8170d9f5a20edc2f, spanId=0c0d55c2e0c26dd5, hostName=ts-price-service, destName=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-basic-service, event=ts-price-service.PriceController.query, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706669500, }
{traceId=8170d9f5a20edc2f, spanId=0c0d55c2e0c26dd5, hostName=ts-basic-service, srcName=ts-price-service, src=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":19,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=3ba235b81dd3a21c, timestamp=1516945706671500, }
{traceId=8170d9f5a20edc2f, spanId=ec14de5871151ff1, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":8,"ts-route-service":12}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=3ba235b81dd3a21c, timestamp=1516945706672500, }
{traceId=8170d9f5a20edc2f, spanId=ec14de5871151ff1, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":9,"ts-route-service":12}, event=ts-station-service.StationController.queryForId, type=sr, parentId=3ba235b81dd3a21c, timestamp=1516945706673500, }
{traceId=8170d9f5a20edc2f, spanId=ec14de5871151ff1, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-travel-service":16,"ts-train-service":2,"ts-station-service":10,"ts-route-service":12}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=3ba235b81dd3a21c, timestamp=1516945706676500, }
