
=== TestCase5 case5\fail2\basic2 Fail execution 2 ===
{traceId=1bad3c7dc5dfd465, spanId=1bad3c7dc5dfd465, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1517210581400000, }
{traceId=1bad3c7dc5dfd465, spanId=49499a4b7b715a98, hostName=ts-preserve-other-service, srcName=ts-contacts-service, src=ts-contacts-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":7,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=1bad3c7dc5dfd465, timestamp=1517210581529000, }
{traceId=1bad3c7dc5dfd465, spanId=02f87c682ad8191d, hostName=ts-preserve-other-service, destName=ts-travel2-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=1bad3c7dc5dfd465, timestamp=1517210581532000, }
{traceId=1bad3c7dc5dfd465, spanId=02f87c682ad8191d, hostName=ts-travel2-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-travel2-service, clock={"ts-travel2-service":1,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=sr, parentId=1bad3c7dc5dfd465, timestamp=1517210581538000, }
{traceId=1bad3c7dc5dfd465, spanId=9927efbd5a9f85d8, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-travel2-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cs, parentId=02f87c682ad8191d, timestamp=1517210581542000, }
{traceId=1bad3c7dc5dfd465, spanId=9927efbd5a9f85d8, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":1,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=02f87c682ad8191d, timestamp=1517210581545500, }
{traceId=1bad3c7dc5dfd465, spanId=2d76a3853e0c780f, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=9927efbd5a9f85d8, timestamp=1517210581546500, }
{traceId=1bad3c7dc5dfd465, spanId=2d76a3853e0c780f, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":1,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=9927efbd5a9f85d8, timestamp=1517210581549000, }
{traceId=1bad3c7dc5dfd465, spanId=08ecd263212c515e, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=2d76a3853e0c780f, timestamp=1517210581550000, }
{traceId=1bad3c7dc5dfd465, spanId=08ecd263212c515e, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":1,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-station-service.StationController.queryForId, type=sr, parentId=2d76a3853e0c780f, timestamp=1517210581552000, }
{traceId=1bad3c7dc5dfd465, spanId=08ecd263212c515e, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":2,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=2d76a3853e0c780f, timestamp=1517210581556000, }
{traceId=1bad3c7dc5dfd465, spanId=08ecd263212c515e, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":3,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=2d76a3853e0c780f, timestamp=1517210581558000, }
{traceId=1bad3c7dc5dfd465, spanId=2d76a3853e0c780f, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":2,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=9927efbd5a9f85d8, timestamp=1517210581559000, }
{traceId=1bad3c7dc5dfd465, spanId=2d76a3853e0c780f, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":3,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=9927efbd5a9f85d8, timestamp=1517210581561500, }
{traceId=1bad3c7dc5dfd465, spanId=9927efbd5a9f85d8, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":2,"ts-ticketinfo-service":4,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=02f87c682ad8191d, timestamp=1517210581562500, }
{traceId=1bad3c7dc5dfd465, spanId=9927efbd5a9f85d8, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":3,"ts-ticketinfo-service":4,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cr, parentId=02f87c682ad8191d, timestamp=1517210581566000, }
{traceId=1bad3c7dc5dfd465, spanId=081723062df77d86, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":4,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cs, parentId=02f87c682ad8191d, timestamp=1517210581567000, }
{traceId=1bad3c7dc5dfd465, spanId=081723062df77d86, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":5,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=sr, parentId=02f87c682ad8191d, timestamp=1517210581567500, }
{traceId=1bad3c7dc5dfd465, spanId=16f32f6dfcf31aef, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":4,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cs, parentId=081723062df77d86, timestamp=1517210581569500, }
{traceId=1bad3c7dc5dfd465, spanId=16f32f6dfcf31aef, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":5,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=sr, parentId=081723062df77d86, timestamp=1517210581570500, }
{traceId=1bad3c7dc5dfd465, spanId=0a2a5af7cbb0ac7d, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForStationId, type=cs, parentId=16f32f6dfcf31aef, timestamp=1517210581572500, }
{traceId=1bad3c7dc5dfd465, spanId=0a2a5af7cbb0ac7d, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":3,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-station-service.StationController.queryForId, type=sr, parentId=16f32f6dfcf31aef, timestamp=1517210581573000, }
{traceId=1bad3c7dc5dfd465, spanId=0a2a5af7cbb0ac7d, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=16f32f6dfcf31aef, timestamp=1517210581577000, }
{traceId=1bad3c7dc5dfd465, spanId=0a2a5af7cbb0ac7d, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=16f32f6dfcf31aef, timestamp=1517210581577500, }
{traceId=1bad3c7dc5dfd465, spanId=16f32f6dfcf31aef, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=081723062df77d86, timestamp=1517210581578500, }
{traceId=1bad3c7dc5dfd465, spanId=16f32f6dfcf31aef, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":7,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=081723062df77d86, timestamp=1517210581579500, }
{traceId=1bad3c7dc5dfd465, spanId=081723062df77d86, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=02f87c682ad8191d, timestamp=1517210581581500, }
{traceId=1bad3c7dc5dfd465, spanId=081723062df77d86, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":5,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cr, parentId=02f87c682ad8191d, timestamp=1517210581582000, }
{traceId=1bad3c7dc5dfd465, spanId=a0ca85936913ed5e, hostName=ts-travel2-service, destName=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-route-service, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cs, parentId=02f87c682ad8191d, timestamp=1517210581583000, }
{traceId=1bad3c7dc5dfd465, spanId=a0ca85936913ed5e, hostName=ts-route-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":1,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-route-service.RouteController.queryById, type=sr, parentId=02f87c682ad8191d, timestamp=1517210581585500, }
{traceId=1bad3c7dc5dfd465, spanId=a0ca85936913ed5e, hostName=ts-route-service, destName=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=02f87c682ad8191d, timestamp=1517210581589500, }
{traceId=1bad3c7dc5dfd465, spanId=a0ca85936913ed5e, hostName=ts-travel2-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":7,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cr, parentId=02f87c682ad8191d, timestamp=1517210581592000, }
{traceId=1bad3c7dc5dfd465, spanId=eb236b571bab1570, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":8,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.getTripAllDetailInfo, type=cs, parentId=02f87c682ad8191d, timestamp=1517210581594000, }
{traceId=1bad3c7dc5dfd465, spanId=eb236b571bab1570, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":9,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=sr, parentId=02f87c682ad8191d, timestamp=1517210581595500, }
{traceId=1bad3c7dc5dfd465, spanId=77f646e850244d53, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cs, parentId=eb236b571bab1570, timestamp=1517210581598500, }
{traceId=1bad3c7dc5dfd465, spanId=77f646e850244d53, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":9,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-preserve-other-service":8,"ts-contacts-service":4,"ts-station-service":4,"ts-route-service":2,"ts-order-service":2,"ts-sso-service":4,"ts-security-service":6,"ts-order-other-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=sr, parentId=eb236b571bab1570, timestamp=1517210581600000, }
