
=== TestCase1 case1\fail1\basic-1 Fail execution 1 ===
{traceId=e85b91a66f418c9e, spanId=e85b91a66f418c9e, hostName=ts-travel2-service, srcName=null, src=null, host=ts-travel2-service, clock={"ts-travel2-service":1}, event=ts-travel2-service.Travel2Controller.query, type=sr, parentId=, timestamp=1517208277152000, }
{traceId=e85b91a66f418c9e, spanId=f0db58f769aca1f8, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":6,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=ba2c94e736775856, timestamp=1517208280678500, }
{traceId=e85b91a66f418c9e, spanId=f0db58f769aca1f8, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":7,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, event=ts-basic-service.BasicController.queryForStationId, type=cr, parentId=ba2c94e736775856, timestamp=1517208280683500, }
{traceId=e85b91a66f418c9e, spanId=ba2c94e736775856, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":6,"ts-station-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForStationId, type=ss, parentId=60762efc04b52539, timestamp=1517208280688500, }
{traceId=e85b91a66f418c9e, spanId=ba2c94e736775856, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":7,"ts-station-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=cr, parentId=60762efc04b52539, timestamp=1517208280693000, }
{traceId=e85b91a66f418c9e, spanId=60762efc04b52539, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":4,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForStationId, type=ss, parentId=e85b91a66f418c9e, timestamp=1517208280698000, }
{traceId=e85b91a66f418c9e, spanId=60762efc04b52539, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":5,"ts-ticketinfo-service":8,"ts-station-service":4}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e85b91a66f418c9e, timestamp=1517208280702000, }
{traceId=e85b91a66f418c9e, spanId=943117d798e1ef3a, hostName=ts-travel2-service, destName=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4}, dest=ts-route-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e85b91a66f418c9e, timestamp=1517208280758000, }
{traceId=e85b91a66f418c9e, spanId=943117d798e1ef3a, hostName=ts-route-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":1}, event=ts-route-service.RouteController.queryById, type=sr, parentId=e85b91a66f418c9e, timestamp=1517208281072500, }
{traceId=e85b91a66f418c9e, spanId=943117d798e1ef3a, hostName=ts-route-service, destName=ts-travel2-service, host=ts-route-service, clock={"ts-basic-service":8,"ts-travel2-service":6,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-travel2-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=e85b91a66f418c9e, timestamp=1517208281340500, }
{traceId=e85b91a66f418c9e, spanId=943117d798e1ef3a, hostName=ts-travel2-service, srcName=ts-route-service, src=ts-route-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":7,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e85b91a66f418c9e, timestamp=1517208281655000, }
{traceId=e85b91a66f418c9e, spanId=28ff2fd1c7ba7fac, hostName=ts-travel2-service, destName=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":8,"ts-station-service":4,"ts-route-service":2}, dest=ts-ticketinfo-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e85b91a66f418c9e, timestamp=1517208281696000, }
{traceId=e85b91a66f418c9e, spanId=28ff2fd1c7ba7fac, hostName=ts-ticketinfo-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":9,"ts-station-service":4,"ts-route-service":2}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=sr, parentId=e85b91a66f418c9e, timestamp=1517208281702000, }
{traceId=e85b91a66f418c9e, spanId=e10fa811944c6238, hostName=ts-ticketinfo-service, destName=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":8,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, dest=ts-basic-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cs, parentId=28ff2fd1c7ba7fac, timestamp=1517208281793000, }
{traceId=e85b91a66f418c9e, spanId=e10fa811944c6238, hostName=ts-basic-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":9,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=sr, parentId=28ff2fd1c7ba7fac, timestamp=1517208281802500, }
{traceId=e85b91a66f418c9e, spanId=e7b4e6f63e95bf48, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":4,"ts-route-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208281853500, }
{traceId=e85b91a66f418c9e, spanId=e7b4e6f63e95bf48, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":5,"ts-route-service":2}, event=ts-station-service.StationController.exist, type=sr, parentId=e10fa811944c6238, timestamp=1517208281861500, }
{traceId=e85b91a66f418c9e, spanId=e7b4e6f63e95bf48, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":10,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=e10fa811944c6238, timestamp=1517208281898500, }
{traceId=e85b91a66f418c9e, spanId=e7b4e6f63e95bf48, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":11,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208281906500, }
{traceId=e85b91a66f418c9e, spanId=20115a2a94ddccd2, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":6,"ts-route-service":2}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208281910500, }
{traceId=e85b91a66f418c9e, spanId=20115a2a94ddccd2, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":7,"ts-route-service":2}, event=ts-station-service.StationController.exist, type=sr, parentId=e10fa811944c6238, timestamp=1517208281914500, }
{traceId=e85b91a66f418c9e, spanId=20115a2a94ddccd2, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":12,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, dest=ts-basic-service, event=ts-station-service.StationController.exist, type=ss, parentId=e10fa811944c6238, timestamp=1517208281929500, }
{traceId=e85b91a66f418c9e, spanId=20115a2a94ddccd2, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":13,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208281933500, }
{traceId=e85b91a66f418c9e, spanId=95508c146215ee1a, hostName=ts-basic-service, destName=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-station-service":8,"ts-route-service":2}, dest=ts-train-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208281940500, }
{traceId=e85b91a66f418c9e, spanId=95508c146215ee1a, hostName=ts-train-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":1,"ts-station-service":8,"ts-route-service":2}, event=ts-train-service.TrainController.retrieve, type=sr, parentId=e10fa811944c6238, timestamp=1517208282209000, }
{traceId=e85b91a66f418c9e, spanId=95508c146215ee1a, hostName=ts-train-service, destName=ts-basic-service, host=ts-train-service, clock={"ts-basic-service":14,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, dest=ts-basic-service, event=ts-train-service.TrainController.retrieve, type=ss, parentId=e10fa811944c6238, timestamp=1517208282515000, }
{traceId=e85b91a66f418c9e, spanId=95508c146215ee1a, hostName=ts-basic-service, srcName=ts-train-service, src=ts-train-service, host=ts-basic-service, clock={"ts-basic-service":15,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208282783500, }
{traceId=e85b91a66f418c9e, spanId=53ddd48d96c94dd5, hostName=ts-basic-service, destName=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":2}, dest=ts-route-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208282800500, }
{traceId=e85b91a66f418c9e, spanId=53ddd48d96c94dd5, hostName=ts-route-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":3}, event=ts-route-service.RouteController.queryById, type=sr, parentId=e10fa811944c6238, timestamp=1517208282850000, }
{traceId=e85b91a66f418c9e, spanId=53ddd48d96c94dd5, hostName=ts-route-service, destName=ts-basic-service, host=ts-route-service, clock={"ts-basic-service":16,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-basic-service, event=ts-route-service.RouteController.queryById, type=ss, parentId=e10fa811944c6238, timestamp=1517208282867000, }
{traceId=e85b91a66f418c9e, spanId=53ddd48d96c94dd5, hostName=ts-basic-service, srcName=ts-route-service, src=ts-route-service, host=ts-basic-service, clock={"ts-basic-service":17,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208282916500, }
{traceId=e85b91a66f418c9e, spanId=ea1e7e823de57014, hostName=ts-basic-service, destName=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-price-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208282929500, }
{traceId=e85b91a66f418c9e, spanId=ea1e7e823de57014, hostName=ts-price-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":1,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-price-service.PriceController.query, type=sr, parentId=e10fa811944c6238, timestamp=1517208283284000, }
{traceId=e85b91a66f418c9e, spanId=ea1e7e823de57014, hostName=ts-price-service, destName=ts-basic-service, host=ts-price-service, clock={"ts-basic-service":18,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-basic-service, event=ts-price-service.PriceController.query, type=ss, parentId=e10fa811944c6238, timestamp=1517208283700000, }
{traceId=e85b91a66f418c9e, spanId=ea1e7e823de57014, hostName=ts-basic-service, srcName=ts-price-service, src=ts-price-service, host=ts-basic-service, clock={"ts-basic-service":19,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208284054500, }
{traceId=e85b91a66f418c9e, spanId=57ba8fcc3a358ffc, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":8,"ts-route-service":4}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208284056500, }
{traceId=e85b91a66f418c9e, spanId=57ba8fcc3a358ffc, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":9,"ts-route-service":4}, event=ts-station-service.StationController.queryForId, type=sr, parentId=e10fa811944c6238, timestamp=1517208284063000, }
{traceId=e85b91a66f418c9e, spanId=57ba8fcc3a358ffc, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":20,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=e10fa811944c6238, timestamp=1517208284073000, }
{traceId=e85b91a66f418c9e, spanId=57ba8fcc3a358ffc, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":21,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208284079500, }
{traceId=e85b91a66f418c9e, spanId=cf11c3e0e2816601, hostName=ts-basic-service, destName=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":10,"ts-route-service":4}, dest=ts-station-service, event=ts-basic-service.BasicController.queryForTravel, type=cs, parentId=e10fa811944c6238, timestamp=1517208284081500, }
{traceId=e85b91a66f418c9e, spanId=cf11c3e0e2816601, hostName=ts-station-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":11,"ts-route-service":4}, event=ts-station-service.StationController.queryForId, type=sr, parentId=e10fa811944c6238, timestamp=1517208284085500, }
{traceId=e85b91a66f418c9e, spanId=cf11c3e0e2816601, hostName=ts-station-service, destName=ts-basic-service, host=ts-station-service, clock={"ts-basic-service":22,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-basic-service, event=ts-station-service.StationController.queryForId, type=ss, parentId=e10fa811944c6238, timestamp=1517208284092500, }
{traceId=e85b91a66f418c9e, spanId=cf11c3e0e2816601, hostName=ts-basic-service, srcName=ts-station-service, src=ts-station-service, host=ts-basic-service, clock={"ts-basic-service":23,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-basic-service.BasicController.queryForTravel, type=cr, parentId=e10fa811944c6238, timestamp=1517208284096500, }
{traceId=e85b91a66f418c9e, spanId=e10fa811944c6238, hostName=ts-basic-service, destName=ts-ticketinfo-service, host=ts-basic-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":10,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-ticketinfo-service, event=ts-basic-service.BasicController.queryForTravel, type=ss, parentId=28ff2fd1c7ba7fac, timestamp=1517208284121500, }
{traceId=e85b91a66f418c9e, spanId=e10fa811944c6238, hostName=ts-ticketinfo-service, srcName=ts-basic-service, src=ts-basic-service, host=ts-ticketinfo-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":11,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=cr, parentId=28ff2fd1c7ba7fac, timestamp=1517208284131000, }
{traceId=e85b91a66f418c9e, spanId=28ff2fd1c7ba7fac, hostName=ts-ticketinfo-service, destName=ts-travel2-service, host=ts-ticketinfo-service, clock={"ts-basic-service":24,"ts-travel2-service":8,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-travel2-service, event=ts-ticketinfo-service.TicketInfoController.queryForTravel, type=ss, parentId=e85b91a66f418c9e, timestamp=1517208284156000, }
{traceId=e85b91a66f418c9e, spanId=28ff2fd1c7ba7fac, hostName=ts-travel2-service, srcName=ts-ticketinfo-service, src=ts-ticketinfo-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":9,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e85b91a66f418c9e, timestamp=1517208284162000, }
{traceId=e85b91a66f418c9e, spanId=537f7453da4b2712, hostName=ts-travel2-service, destName=ts-order-other-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4}, dest=ts-order-other-service, event=ts-travel2-service.Travel2Controller.query, type=cs, parentId=e85b91a66f418c9e, timestamp=1517208284172000, }
{traceId=e85b91a66f418c9e, spanId=537f7453da4b2712, hostName=ts-order-other-service, srcName=ts-travel2-service, src=ts-travel2-service, host=ts-order-other-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.calculateSoldTicket, type=sr, parentId=e85b91a66f418c9e, timestamp=1517208284461500, }
{traceId=e85b91a66f418c9e, spanId=537f7453da4b2712, hostName=ts-order-other-service, destName=ts-travel2-service, host=ts-order-other-service, clock={"ts-basic-service":24,"ts-travel2-service":10,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":2}, dest=ts-travel2-service, event=ts-order-other-service.OrderOtherController.calculateSoldTicket, type=ss, parentId=e85b91a66f418c9e, timestamp=1517208285204500, }
{traceId=e85b91a66f418c9e, spanId=537f7453da4b2712, hostName=ts-travel2-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-travel2-service, clock={"ts-basic-service":24,"ts-travel2-service":11,"ts-ticketinfo-service":12,"ts-price-service":2,"ts-train-service":2,"ts-station-service":12,"ts-route-service":4,"ts-order-other-service":2}, event=ts-travel2-service.Travel2Controller.query, type=cr, parentId=e85b91a66f418c9e, timestamp=1517208285494000, }
